Judul;Kode Eksemplar;Jumlah Buku yang dipinjam;Frekuensi Peminjaman
Dasar-dasar akuntansi jilid 2;41195;1;Jarang dipinjam
AKUNTANSI PENGANTAR 2 BERBASIS SAK ETAP 2009;29282;1;Jarang dipinjam
Akuntansi pengantar bank soal & solusi;17414;1;Jarang dipinjam
Akuntansi jilid 1 edisi 7;151;1;Jarang dipinjam
Manajemen keuangan jilid 1;18900;1;Jarang dipinjam
Dasar-dasar akuntansi jilid 2;41839;1;Jarang dipinjam
Akuntansi Jilid 2;2354;1;Jarang dipinjam
AKUNTANSI BIAYA EDISI 3;508;2;Jarang dipinjam
Akuntansi perpajakan ed.2;32064;7;Sering dipinjam
Akuntansi manajemen;1725;5;Sering dipinjam
Media pembelajaran;31205;1;Jarang dipinjam
Evaluasi dan asesmen pembelajaran;47698;3;Sering dipinjam
Dasar-dasar evaluasi pendidikan ED.2;40291;2;Jarang dipinjam
Kimia dasar konsep-konsep inti;17990;1;Jarang dipinjam
Kimia dasar konsep-konsep inti jilid 2;42903;1;Jarang dipinjam
Kimia dasar konsep- konsep inti jilid 2;22173;1;Jarang dipinjam
Akuntansi manajemen pendekatan studi kasus;49102;4;Sering dipinjam
Akuntansi manajemen jilid 2;2243;5;Sering dipinjam
Akuntansi manajemen;47841;1;Jarang dipinjam
Auditing : pendekatan sektor publik dan privat;40689;2;Jarang dipinjam
Akuntansi pajak;40850;2;Jarang dipinjam
Akuntansi sektor publik organisasi non laba EDISI 2;33016;1;Jarang dipinjam
Otonomi dan Manajemen Keuangan Daerah;35206;1;Jarang dipinjam
"AKUNTANSI SEKTOR
PUBLIK: Suatu Pengantar";780PB3.1;3;Sering dipinjam
Audit Sektor Publik;34578;1;Jarang dipinjam
AUDIT SEKTOR PUBLIK;962PB3.3;1;Jarang dipinjam
Akuntansi sektor publik;50515;2;Jarang dipinjam
Akuntansi sektor publik edisi terbaru;45304;3;Sering dipinjam
akuntasi sektor publik;787APBN3.4;1;Jarang dipinjam
AKUNTANSI UNTUK LSM DAN PARTAI POLITIK;126;1;Jarang dipinjam
Hukum otonomi daerah;48941;1;Jarang dipinjam
OTONOMI & MANAJEMEN KEUANGAN DAERAH;37397;1;Jarang dipinjam
Dinamika sistem politik indonesia;2572;2;Jarang dipinjam
Pengantar sosiologi;37775;3;Sering dipinjam
Hukum administrasi negara;101sm3;3;Sering dipinjam
Stupid in love karena cinta adalah segalanya;22081;1;Jarang dipinjam
Etika profesi keguruan;30555;1;Jarang dipinjam
BERBAGAI CARA LATIHAN OTAK & DAYA INGAT DENGAN MENGGUNAKAN RAGAM MEDIA AUDIO VISUAL;29271;1;Jarang dipinjam
KISAH INSPPIRATIF UNTUK SEMUA ORANG;29100;1;Jarang dipinjam
Dari berpikir positif ke bertindak positif;50756;1;Jarang dipinjam
Filsafat ilmu : sejarah, konsep, dan strategi pengembangan ipteks;48307;1;Jarang dipinjam
PENDIDIKAN KEWARGANEGARAAN UNTUK PERGURUAN TINGGI;19643;2;Jarang dipinjam
Hukum administrasi negara;2113;2;Jarang dipinjam
Pengantar sosiologi;19709;3;Sering dipinjam
Hukum administrasi negara;H004.1;7;Sering dipinjam
Manajemen Perbankan Edisi Revisi;U00300011;1;Jarang dipinjam
Pengantar kewirausahaan untuk mahasiswa, wirausahawan, dan kalangan umum;49477;1;Jarang dipinjam
Pemberdayaan UMKM;48363;1;Jarang dipinjam
Business ethics etika bisnis;24357;1;Jarang dipinjam
ETIKA BISNIS EDISI 5;33486;1;Jarang dipinjam
AKUNTASI PAJAK;591;1;Jarang dipinjam
Akuntansi manajemen;49338;2;Jarang dipinjam
Perpajakan Teori dan Teknis Perhitungan;U00300044;2;Jarang dipinjam
Perpajakan Teori dan Teknis Perhitungan;U00300041;2;Jarang dipinjam
Perpajakan Teori dan Teknis Perhitungan;43017;2;Jarang dipinjam
Manajemen edisi 2;37858;2;Jarang dipinjam
Perpajakan Teori dan Teknis Perhitungan;U00300043;1;Jarang dipinjam
Akuntansi manajemen;49339;3;Sering dipinjam
Manajemen keuangan;2587;3;Sering dipinjam
Metode penelitian kuantitatif;20225;6;Sering dipinjam
ALAT ANALISIS DATA;44346;3;Sering dipinjam
Pengantar Akuntansi Mananjemen Jilid 2;1239.3.1;2;Jarang dipinjam
AKUNTANSI MANAJEMEN TEORI DAN APLIKASI;29226;1;Jarang dipinjam
UU Penyelenggaraan Pemilu;15.393.1;1;Jarang dipinjam
Akuntansi manajemen biaya sebuah pengantar;49045;3;Sering dipinjam
Akuntansi manajemen biaya sebuah pengantar;49044;5;Sering dipinjam
Akuntansi sektor publik;40369;3;Sering dipinjam
Akuntansi sektor publik;24757;1;Jarang dipinjam
AKUNTANSI MANAJEMEN;41139;5;Sering dipinjam
Akuntansi manajerial ed.14 bku 1;42017;4;Sering dipinjam
AKUNTANSI MANAJEMEN SISTEM PROSES DAN PEMECAHAN SOSIAL;40372;2;Jarang dipinjam
Ekonomi Makro;339MHS3.1;10;Sering dipinjam
Hukum bisnis untuk perusahaan;26679;3;Sering dipinjam
Makroekonomi;304PB3.4;4;Sering dipinjam
Makroekonomi;304PB3.3;4;Sering dipinjam
Hukum bisnis untuk perusahaan;26680;4;Sering dipinjam
Hukum Bisnis untuk Perusahaan;15.424.2;3;Sering dipinjam
EKONOMI MATEMATIKA BISNIS;33870;6;Sering dipinjam
Akuntansi keuangan;32061;1;Jarang dipinjam
Akuntansi manajemen jilid 2;2244;2;Jarang dipinjam
Akuntansi manajemen teori dan aplikasi;48279;3;Sering dipinjam
ECONOMICS PENGANTAR MIKRO DAN MAKRO;1406.3.2;7;Sering dipinjam
ECONOMICS PENGANTAR MIKRO DAN MAKRO EDISI 5;21803;5;Sering dipinjam
Managerial accounting;34241;3;Sering dipinjam
Managerial accounting;42420;3;Sering dipinjam
Akuntansi manajerial ed.14 bku 1;31941;2;Jarang dipinjam
Managerial accounting;42421;2;Jarang dipinjam
"Akuntansi manajemen
: alat pengukuran dan pengambilan keputusan manajerial";27224;2;Jarang dipinjam
"Akuntansi manajemen
: alat pengukuran dan pengambilan keputusan manajerial";27219;5;Sering dipinjam
Hukum keluarga islam di Indonesia;26827;2;Jarang dipinjam
BAHASA INDONESIA UNTUK PERGURUAN TINGGI;24659;1;Jarang dipinjam
KAMUS BAHASA INDONESIA UNTUK PELAJAR;21043;1;Jarang dipinjam
pengantar ilmu ekonomi makro;40177;9;Sering dipinjam
Manajemen operasional;015MHS3.1;3;Sering dipinjam
Metode penelitian manajemen;36659;3;Sering dipinjam
MANAJEMEN PEMASARAN SUDUT PANDANG ASIA Jilid 2;50622;1;Jarang dipinjam
Akuntansi perpajakan;1625;8;Sering dipinjam
Akuntansi pajak;42503;2;Jarang dipinjam
Model-model pembelajaran inovatif;32535;6;Sering dipinjam
AKUNTANSI PAJAK ED.2;24644;2;Jarang dipinjam
Akuntansi perpajakan;2517;2;Jarang dipinjam
AKUNTANSI PAJAK ED.2;24173;3;Sering dipinjam
Akuntansi perpajakan ed.2;32063;6;Sering dipinjam
Akuntansi perpajakan ed.2;32064;7;Sering dipinjam
AKUNTANSI PAJAK ED.2;24643;3;Sering dipinjam
AKUNTANSI PAJAK ED.2;24172;4;Sering dipinjam
AKUNTANSI PAJAK ED.2;24171;4;Sering dipinjam
BAHASA INDONESIA UNTUK PERGURUAN TINGGI;24677;1;Jarang dipinjam
Konsep dan Aplikasi Bahasa Indonesia Untuk Perguruan Tinggi;46783;1;Jarang dipinjam
Akuntansi perpajakan;1625;2;Jarang dipinjam
Akuntansi pajak ed.6;18715;3;Sering dipinjam
Akuntansi pajak ed.6;18716;4;Sering dipinjam
PENGANTAR RISET OPERASI EDISI 3;32379;5;Sering dipinjam
PENGANTAR RISET OPERASI EDISI 3;32423;7;Sering dipinjam
Belajar dan Pembelajaran;36702;2;Jarang dipinjam
Evaluasi dan asesmen pembelajaran;47699;4;Sering dipinjam
Evaluasi pembelajaran;32010;3;Sering dipinjam
EVALUASI PEMBELAJARAN;17618;5;Sering dipinjam
Accounting- Indonesia adaptation Pengantar akuntansi adaptasi indonesia;2283;3;Sering dipinjam
Metodologi penelitian pendidikan;18231;1;Jarang dipinjam
micro teaching disertai dengan pedoman pengalaman lapangan;SM.035.;1;Jarang dipinjam
Perang siasat kimia praktis;30409;2;Jarang dipinjam
Kimia lingkungan;21474;2;Jarang dipinjam
MENYIMAK SEBAGAI SUATU KETERAMPILAN BERBAHASA;31391;2;Jarang dipinjam
Akuntansi manajemen edisi 3 revisi;40265;10;Sering dipinjam
Seni bahagia menjadi introver;49816;1;Jarang dipinjam
A thousand stars for nathan;49350;4;Sering dipinjam
Mereka bukan anakku jalinan kasih yang tersisih;50230;2;Jarang dipinjam
Brian tracy the psychology of selling : lipat gandakan penjualan anda di pasar mana pun;48294;2;Jarang dipinjam
Cara mudah kuasai grammar;17943;2;Jarang dipinjam
CARA CEPAT MENGUASAI GRAMMAR TANPA RIBET;50579;2;Jarang dipinjam
English Skills Booster Grammar Tenses Vocabulary Conversation : Modul Komplet Untuk Latihan Autodidak Bahasa Inggris;45404;5;Sering dipinjam
Cara mudah kuasai grammar;22275;1;Jarang dipinjam
PERBANDINGAN SISTEM PEMERINTAHAN;46560;1;Jarang dipinjam
KEBIJAKAN SEKTOR PUBLIK;50596;1;Jarang dipinjam
Pedoman umum EYD dan dasar umum pembentukan istilah;30516;2;Jarang dipinjam
Teori Akuntansi;17580;1;Jarang dipinjam
Statistik pendidikan;2859;2;Jarang dipinjam
PENGAJARAN PRAGMATIK;738APBN3.4;3;Sering dipinjam
Perencanaan pembelajaran;19802;1;Jarang dipinjam
MEMBACA SEBAGAI SUATU KETERAMPILAN BERBAHASA;21003;2;Jarang dipinjam
PENGANTAR SEMANTIK BAHASA INDONESIA;1175.3.2;1;Jarang dipinjam
Psikolinguistik;31395;1;Jarang dipinjam
PSIKOLOGI SASTRA;19293;1;Jarang dipinjam
Dasar-dasar psikosastra;19936;1;Jarang dipinjam
Psikologi perkembangan fungsi dan teori;41068;1;Jarang dipinjam
Manajemen pemasaran jilid 2;18951;1;Jarang dipinjam
Metode Penelitian Bisnis;50329;3;Sering dipinjam
Aljabar dan Kalkulus;44278;4;Sering dipinjam
Akuntansi sektor publik;34269;2;Jarang dipinjam
Akuntansi sektor publik;1051.3.5;2;Jarang dipinjam
Akuntansi sektor publik;1051.3.4;2;Jarang dipinjam
KUHAP dan KUHP;49756;2;Jarang dipinjam
Hukum acara pidana;26381;1;Jarang dipinjam
KUHAP dan KUHP;15.223.2;1;Jarang dipinjam
Hukum acara pidana;26380;1;Jarang dipinjam
KUHP KITAB UNDANG- UNDANG HUKUM PIDANA;37241;2;Jarang dipinjam
AKUNTANSI SEKTOR PUBLIK;019PB3.1;2;Jarang dipinjam
Akuntansi sektor publik;24754;1;Jarang dipinjam
Akuntansi sektor publik;1051.3.6;3;Sering dipinjam
akuntasi sektor publik;21676;2;Jarang dipinjam
Akuntansi sektor publik;23477;1;Jarang dipinjam
PENGANTAR SEMANTIK BAHASA INDONESIA;1175.3.1;1;Jarang dipinjam
Semantik leksikal;23190;4;Sering dipinjam
Linguistik umum;1653;3;Sering dipinjam
HUKUM ACARA PERDATA;001-SM-3;2;Jarang dipinjam
Hukum acara perdata dalam teori dan praktek;111PB3.1;1;Jarang dipinjam
KItab Undang-undang Hukum Perdata;40920;2;Jarang dipinjam
Hukum acara perdata dalam teori dan praktek;111PB3.4;1;Jarang dipinjam
Hukum Acara Perdata Lengkap & Praktis;15.282.2;2;Jarang dipinjam
KURIKULUM&PEMBELAJARAN KOMPETENSI;31073;1;Jarang dipinjam
Pengembangan kurikulum pendidikan : teknologi dan kejujuran;32147;2;Jarang dipinjam
Kurikulum dan Pengajaran;2361;1;Jarang dipinjam
Dasar-dasar kurikulum bahasa;17913;1;Jarang dipinjam
Perencanaan Dan Pengembangan Kurikulum;44554;1;Jarang dipinjam
Perencanaan Dan Pengembangan Kurikulum;44553;2;Jarang dipinjam
KURIKULUM&PEMBELAJARAN KOMPETENSI;31075;1;Jarang dipinjam
THE RULES OF WEALTH;2041;1;Jarang dipinjam
Pendidikan kewarganegaraan;1097.3.3;2;Jarang dipinjam
Pulang pergi;49781;2;Jarang dipinjam
Akuntansi UMKM (Usaha Mikro Kecil Menengah);45390;1;Jarang dipinjam
Komplet akuntansi untuk UKM dan waralaba;33252;1;Jarang dipinjam
Akuntansi usaha kecil menengah (UKM);25365;3;Sering dipinjam
Sosiologi Ekonomi;1587;1;Jarang dipinjam
Pengantar sosiologi ekonomi;17239;1;Jarang dipinjam
Balada Gimpul (novel);771;2;Jarang dipinjam
50 Ways to ?nd a lover;395011;1;Jarang dipinjam
KUHP kitab undang undang hukum pidana;49750;3;Sering dipinjam
Auditing suatu pendekatan terpadu Jilid 2;310PB3.5;1;Jarang dipinjam
AKUNTANSI MANAJEMEN;39881;4;Sering dipinjam
Pengantar akuntansi 1 pendekatan siklus akuntansi;2056;1;Jarang dipinjam
KUHP DAN PENJELASANNYA;317;1;Jarang dipinjam
Pengantar akuntansi 1 pendekatan siklus akuntansi;2056;1;Jarang dipinjam
KOMPISISI BAHASA INDONESIA REVISI 4;42556;2;Jarang dipinjam
Tata bahasa praktis bahasa indonesia;20782;2;Jarang dipinjam
Tata bahasa baku bahasa indonesia;857THP3.3;1;Jarang dipinjam
BERBAHASA INDONESIA YANG BAIK DAN BENAR;30596;2;Jarang dipinjam
Bahasa indonesia untuk perguruan tinggi;2198;4;Sering dipinjam
Komposisi Bahasa Indonesia;32472;1;Jarang dipinjam
KOMPISISI BAHASA INDONESIA REVISI 4;42563;1;Jarang dipinjam
Analisis Laporan Keuangan;15.606.1;1;Jarang dipinjam
Akuntansi usaha kecil menengah (UKM);25363;2;Jarang dipinjam
Teori tawa dan cara-cara melucu lainnya;50687;4;Sering dipinjam
Akuntansi usaha kecil menengah (UKM);25364;2;Jarang dipinjam
Metodologi penelitian;50778;3;Sering dipinjam
Partial least square (PLS);26639;1;Jarang dipinjam
Managerial accounting;25940;1;Jarang dipinjam
Konsep dan Aplikasi Bahasa Indonesia Untuk Perguruan Tinggi;44383;1;Jarang dipinjam
KOMPISISI BAHASA INDONESIA REVISI 4;20262;1;Jarang dipinjam
Kemahiran berbahasa indonesia sebagai mata kuliah wajib umum di perguruan tinggi;47516;1;Jarang dipinjam
HUKUM ACARA PERADILAN TATA USAHA NEGARA;15.103.1;1;Jarang dipinjam
Peradilan tata usaha negara;21534;1;Jarang dipinjam
Akuntansi Manajerial Accounting Managerial;39911;6;Sering dipinjam
Evaluasi Pembelajaran;40453;2;Jarang dipinjam
Evaluasi pembelajaran;37897;3;Sering dipinjam
Guru Ideal di Era Digital : Panduan Pemanfaatan Teknologi Untuk Guru Masa Kini;44414;1;Jarang dipinjam
BUKU PINTAR BAHASA TUBUH UNTUK GURU;4041;1;Jarang dipinjam
Panduan kreatif membuat bahan ajar inovatif;37374;2;Jarang dipinjam
Media pembelajaran;37435;1;Jarang dipinjam
Pengembangan bahan ajar tematik;30365;2;Jarang dipinjam
ALAT ANALISIS DATA;44359;1;Jarang dipinjam
Statistik parametrik untuk penelitian kuantitatif;34346;1;Jarang dipinjam
KAPITA SELEKTA SOSIOLOGI;39163;1;Jarang dipinjam
Al-islam pendidikan agama islam;2301;2;Jarang dipinjam
Pendidikan agama islam untuk perguruan tinggi;30727;2;Jarang dipinjam
KALKULUS DAN GEOMETRI ANALITIS ED.5 JIL 2;28428;1;Jarang dipinjam
TEORI DAN PRATIK PENELITIAN KUANTITATIF KUALITATIF;37472;2;Jarang dipinjam
Pengantar Sosiologi Politik;25490;1;Jarang dipinjam
10 kisah genocide;22528;2;Jarang dipinjam
Douwes Dekker : Sang Inspirator Revolusi;39016;1;Jarang dipinjam
The greatest philosophers;2465;4;Sering dipinjam
Untung besar dari reksa dana;341sm3;1;Jarang dipinjam
Investasi saham ala swing trader dunia;49906;2;Jarang dipinjam
Akuntansi sektor publik;378APBN3.2;3;Sering dipinjam
Akuntansi sektor publik;34302;1;Jarang dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;178sm3;8;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;50059;6;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;1756;7;Sering dipinjam
Akuntansi keuangan jilid 1;42267;1;Jarang dipinjam
Akuntansi keuangan jilid 2;41689;1;Jarang dipinjam
Moga bunda disayang allah;49979;3;Sering dipinjam
Statistika terapan dengan excel dan spss;40751;1;Jarang dipinjam
Pokok-pokok materi statistik 2 ( statistik infrensif);31501;2;Jarang dipinjam
Pokok-pokok materi statistik 2 ( statistik infrensif);41973;1;Jarang dipinjam
pengantar ilmu ekonomi makro;217;5;Sering dipinjam
Akuntansi keuangan lanjutan berbasis PSAK;18831;1;Jarang dipinjam
Teori ekonomi makro suatu pengantar;28146;7;Sering dipinjam
Akuntansi keuangan lanjutan berbasis PSAK;18830;1;Jarang dipinjam
Metodologi pengajaran bahasa 1;30828;1;Jarang dipinjam
Metode penelitian pendidikan;37504;1;Jarang dipinjam
Praktis menyusun laporan keuangan;17319;1;Jarang dipinjam
MEMAHAMI AKUNTANSI DASAR pendekatan teknis siklus akuntansi EDISI 3;40115;1;Jarang dipinjam
Praktis menyusun laporan keuangan;24301;1;Jarang dipinjam
MEMAHAMI AKUNTANSI DASAR pendekatan teknis siklus akuntansi EDISI 3;40107;1;Jarang dipinjam
Pendidikan agama islam;40464;2;Jarang dipinjam
Ekonomika Makro Edisi Revis;U0000144;7;Sering dipinjam
Ekonomika Makro Edisi Revis;U0000142;5;Sering dipinjam
Hukum keluarga islam di Indonesia;26826;1;Jarang dipinjam
Fisika dasar untuk mahasiswa ilmu-ilmu eksakta & teknik;29455;1;Jarang dipinjam
Biologi jilid 3;41953;1;Jarang dipinjam
Jutaan UMKM Pahlawan pajak urus pajak itu sangat sangat mudah;509;2;Jarang dipinjam
Konsep dasar perpajakan;U00004;2;Jarang dipinjam
Ketentuan Umum Perpajakan, Lengkap Dengan Undang-undang No.28 Tahun 2007;41643;2;Jarang dipinjam
Buku Pintar Pajak;43075;2;Jarang dipinjam
Perpajakan: Teori dan Kasus buku 1;28802;2;Jarang dipinjam
Ketentuan Umum Perpajakan, Lengkap Dengan Undang-undang No.28 Tahun 2007;15.573.2;2;Jarang dipinjam
Pengantar statistika;20936;3;Sering dipinjam
Dasar-Dasar Statistika;30764;3;Sering dipinjam
Pengantar ilmu hukum;25144;1;Jarang dipinjam
Teori ekonomi mikro suatu pengantar;316PB3.3;4;Sering dipinjam
Pengantar ilmu hukum;49961;1;Jarang dipinjam
Teori ekonomi mikro suatu pengantar;316PB3.1;6;Sering dipinjam
SEJARAH MARITIM INDONESIA;24989;1;Jarang dipinjam
SEJARAH MARITIM INDONESIA;24991;1;Jarang dipinjam
EKONOMI MAKRO;28330;6;Sering dipinjam
Pengantar ilmu ekonomi edisi ke 3;SM.262.1;4;Sering dipinjam
KUHP DAN KUHAP;15.223.1;1;Jarang dipinjam
EKONOMI MATEMATIKA BISNIS;33870;6;Sering dipinjam
HUKUM BISNIS;50343;2;Jarang dipinjam
Ekonomi Makro;339MHS3.1;10;Sering dipinjam
hukum bisnis prinsip dan pelaksanaannya diindonesia;15.423.2;1;Jarang dipinjam
Makroekonomi;1;7;Sering dipinjam
HUKUM BISNIS;28168;4;Sering dipinjam
KONSEP HUKUM PERDATA;15.191.2;2;Jarang dipinjam
Hukum bisnis untuk perusahaan;26679;3;Sering dipinjam
HUKUM BISNIS;28165;2;Jarang dipinjam
Hukum bisnis untuk perusahaan;26680;4;Sering dipinjam
HUKUM BISNIS;28166;2;Jarang dipinjam
EKONOMI MAKRO;272HB3.1;8;Sering dipinjam
Teori ekonomi mikro suatu pengantar;316PB3.2;5;Sering dipinjam
Buku Pintar UUD 1945 & Amandemen Untuk Pelajar dan Umum;43582;1;Jarang dipinjam
HUKUM BISNIS;28164;3;Sering dipinjam
Ekonomi makro pengantar;40947;8;Sering dipinjam
Principles of economics pengantar ekonomi makro;24180;6;Sering dipinjam
HUKUM BISNIS;28171;2;Jarang dipinjam
HUKUM BISNIS;28169;2;Jarang dipinjam
Hukum Bisnis untuk Perusahaan;15.424.2;3;Sering dipinjam
Akuntansi dasar & aplikasi dalam bisnis jilid 3;40814;1;Jarang dipinjam
Akuntansi keuangan menengah 1, ed.2;32439;1;Jarang dipinjam
Akuntansi keuangan menengah;2748;1;Jarang dipinjam
Evaluasi pembelajaran;32010;3;Sering dipinjam
Evaluasi pembelajaran;30230;1;Jarang dipinjam
Hukum bisnis untuk perusahaan;26681;4;Sering dipinjam
pengantar ilmu ekonomi makro;40180;7;Sering dipinjam
Metode penelitian dan statistik;28050;1;Jarang dipinjam
Statistik Untuk Penelitian Pendidikan;727;1;Jarang dipinjam
STATISTIK TEORI DAN APLIKASI JILID 1 EDISI KELIMA;50623;1;Jarang dipinjam
Analisis data statistik : sebuah pendekatan praktis pengolahan statistik bermuatan karakter;47389;1;Jarang dipinjam
Pengantar ekonomi makro tinjauan ekonomi syariah;40392;7;Sering dipinjam
hukum bisnis prinsip dan pelaksanaannya diindonesia;40075;3;Sering dipinjam
Statistik;29445;1;Jarang dipinjam
Gadis kretek;49888;4;Sering dipinjam
Buku ajar pengantar hukum bisnis;1438.3.3;1;Jarang dipinjam
Inovasi Pemerintahan : Menuju Tata Kelola Pemerintahan Daerah Ideal;46523;1;Jarang dipinjam
Metode penelitian kuantitatif dan kualitatif teori, penerapan dan riset nyata;49669;6;Sering dipinjam
Morfologi;19695;2;Jarang dipinjam
MENYIMAK SEBAGAI SUATU KETERAMPILAN BERBAHASA;31391;2;Jarang dipinjam
Morfologi bahasa indonesia pendekatan proses;33699;1;Jarang dipinjam
KAJIAN MORFOLOGI;32139;1;Jarang dipinjam
MENYIMAK SEBAGAI SUATU KETERAMPILAN BERBAHASA;31392;2;Jarang dipinjam
MENYIMAK SEBAGAI SUATU KETERAMPILAN BERBAHASA;33595;2;Jarang dipinjam
Morfologi bahasa indonesia;47728;1;Jarang dipinjam
Hukum Perdata Islam di Indonesia;15.434.2;1;Jarang dipinjam
Hukum keluarga islam di Indonesia;26827;2;Jarang dipinjam
HUKUM PERDATA ISLAM DI INDONESIA;15.185.2;1;Jarang dipinjam
Akuntansi manajemen ( akuntansi manajerial );22354;1;Jarang dipinjam
Mereka bilang aku kemlinthi;50812;3;Sering dipinjam
Seni berbicara kepada siapa saja, kapan saja, di mana saja;50751;2;Jarang dipinjam
Mahika;49920;8;Sering dipinjam
new york times bestselling series;50803;4;Sering dipinjam
Cliffs quick review aljabar I;40400;1;Jarang dipinjam
SPSS 24 untuk penelitian dan skripsi;17132;1;Jarang dipinjam
Statistik jilid 2;29963;1;Jarang dipinjam
Analisis data statistik : sebuah pendekatan praktis pengolahan statistik bermuatan karakter;49186;2;Jarang dipinjam
Analisis data dengan statistika nonparametrik;49859;2;Jarang dipinjam
Analisis data statistik : sebuah pendekatan praktis pengolahan statistik bermuatan karakter;49187;1;Jarang dipinjam
Akuntansi sektor publik;17264;1;Jarang dipinjam
Statistika Terapan;S121;1;Jarang dipinjam
Statistika Untuk Ekonomi Dan Bisnis;44077;1;Jarang dipinjam
Statistika terapan;2868;1;Jarang dipinjam
SPSS 24 untuk penelitian dan skripsi;37697;1;Jarang dipinjam
Statistik terapan untuk penelitian ilmu sosial teori & praktik dengan IBM SPSS statistic 21;46788;1;Jarang dipinjam
Panduan lengkap SPSS 26;45442;1;Jarang dipinjam
Pertumbuhan & penyelenggaraan pemerintahan desa;1801;1;Jarang dipinjam
Akuntansi keuangan lanjutan (perspektif Indonesia) buku 2;42639;8;Sering dipinjam
AKUNTANSI MANAJEMEN;41115;5;Sering dipinjam
Akuntansi manajemen ( akuntansi manajerial );AM000011;2;Jarang dipinjam
Belajar grammar untuk pemula;35583;2;Jarang dipinjam
Seni berkata tidak;50785;4;Sering dipinjam
Statistik Jilid 1;41980;1;Jarang dipinjam
Ilmu bahasa Indonesia Morfologi: teori dan sejumput problematik terapannya;179;2;Jarang dipinjam
Morfologi;19691;1;Jarang dipinjam
Negara paripurna : historisitas, rasionalitas dan aktualitas pancasila;48172;1;Jarang dipinjam
Morfologi;19693;1;Jarang dipinjam
Negara paripurna : historisitas, rasionalitas dan aktualitas pancasila;48171;1;Jarang dipinjam
Morfologi;43822;2;Jarang dipinjam
Negara paripurna : historisitas, rasionalitas dan aktualitas pancasila;48173;1;Jarang dipinjam
Negara paripurna : historisitas, rasionalitas dan aktualitas pancasila;49614;1;Jarang dipinjam
Morfologi bahasa indonesia pendekatan proses;39412;3;Sering dipinjam
Morfologi bahasa indonesia pendekatan proses;50052;1;Jarang dipinjam
Negara paripurna : historisitas, rasionalitas dan aktualitas pancasila;49616;1;Jarang dipinjam
Statistika terapan untuk penelitian;39006;1;Jarang dipinjam
Statistika penelitian;27574;2;Jarang dipinjam
Moga bunda disayang allah;49980;3;Sering dipinjam
Statistika penelitian;27573;2;Jarang dipinjam
Analisis data penelitian dengan statistik;403sm3;1;Jarang dipinjam
